,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
66,sturgis,US,2020-11-14 10:51:12,41.8,-85.42,1,80,34.06999999999996,3.6
67,hobart,AU,2020-11-14 10:47:40,-42.88,147.33,90,58,55.66999999999996,4.6
68,pakaur,IN,2020-11-14 10:47:57,24.63,87.85,0,51,72.46400000000003,1.46
69,kavieng,PG,2020-11-14 10:51:12,-2.57,150.8,24,77,83.174,7.52
70,ust-maya,RU,2020-11-14 10:51:12,60.42,134.53,100,96,12.038000000000043,1.53
71,kenai,US,2020-11-14 10:51:12,60.55,-151.26,90,85,26.27599999999999,2.43
72,chuy,UY,2020-11-14 10:51:13,-33.7,-53.46,28,58,77.684,2.65
73,tasiilaq,GL,2020-11-14 10:51:13,65.61,-37.64,75,68,26.86999999999996,3.6
74,hermanus,ZA,2020-11-14 10:51:13,-34.42,19.23,87,72,61.26799999999999,0.89
75,shintomi,JP,2020-11-14 10:51:13,32.08,131.47,0,74,57.938000000000045,2.49
76,dzheguta,RU,2020-11-14 10:51:13,43.97,42.04,95,63,41.19800000000002,1.23
77,chiredzi,ZW,2020-11-14 10:51:13,-21.05,31.67,46,22,85.316,3.26
78,cap malheureux,MU,2020-11-14 10:51:13,-19.98,57.61,4,77,76.26199999999996,1.64
79,jumla,NP,2020-11-14 10:51:13,29.27,82.18,0,53,45.76999999999996,1.91
80,barrow,US,2020-11-14 10:51:13,71.29,-156.79,90,67,19.66999999999996,7.2
81,tambura,SS,2020-11-14 10:51:14,5.6,27.47,58,54,79.358,1.91
82,rafaela,AR,2020-11-14 10:51:14,-31.25,-61.49,100,78,65.26400000000004,2.68
83,barawe,,,,,,,,
84,salou,ES,2020-11-14 10:51:14,41.08,1.14,20,77,64.66999999999996,2.1
85,taolanaro,,,,,,,,
86,sinnamary,GF,2020-11-14 10:51:14,5.38,-52.95,87,83,82.77799999999996,4.53
87,butaritari,KI,2020-11-14 10:51:14,3.07,172.79,40,70,81.33800000000005,3.48
88,campiglia marittima,IT,2020-11-14 10:51:14,43.06,10.62,79,68,68.26999999999995,2.18
89,itaituba,BR,2020-11-14 10:51:15,-4.28,-55.98,75,74,86.26999999999995,1.57
90,baghdad,IQ,2020-11-14 10:48:47,33.34,44.4,0,32,68.26999999999995,2.6
91,sorland,NO,2020-11-14 10:51:15,67.67,12.69,74,76,48.21799999999999,10.75
92,magole,TZ,2020-11-14 10:50:33,-6.37,37.37,40,65,82.66999999999996,5.1
93,tiksi,RU,2020-11-14 10:51:15,71.69,128.87,57,91,-6.8440000000000225,1.59
94,dikson,RU,2020-11-14 10:51:15,73.51,80.55,100,98,26.906000000000027,3.97
95,surt,LY,2020-11-14 10:51:15,31.21,16.59,43,59,69.09800000000003,2.72
96,mys shmidta,,,,,,,,
97,luderitz,NA,2020-11-14 10:51:15,-26.65,15.16,0,67,64.868,9.71
98,tarudant,,,,,,,,
99,pevek,RU,2020-11-14 10:51:16,69.7,170.31,100,92,-0.7599999999999838,4.17
100,basoko,CD,2020-11-14 10:51:16,1.24,23.62,100,88,77.77400000000002,0.58
101,manono,CD,2020-11-14 10:51:16,-7.3,27.42,100,92,74.04800000000003,2.02
102,cherskiy,RU,2020-11-14 10:51:16,68.75,161.3,100,86,-7.978000000000016,2.38
103,avarua,CK,2020-11-14 10:48:03,-21.21,-159.78,20,100,68.26999999999995,1
104,port hawkesbury,CA,2020-11-14 10:51:16,45.62,-61.35,90,93,44.27599999999999,4.1
105,mendi,PG,2020-11-14 10:51:16,-6.18,143.65,91,97,55.45399999999995,1.38
106,agogo,GH,2020-11-14 10:51:16,6.8,-1.08,0,42,88.08800000000005,0.78
107,lebu,CL,2020-11-14 10:51:16,-37.62,-73.65,0,63,55.92200000000004,6.81
108,horta,PT,2020-11-14 10:51:16,38.53,-28.63,75,88,70.06999999999996,8.7
109,college,US,2020-11-14 10:51:17,64.86,-147.8,90,85,16.069999999999958,1.5
110,sao filipe,CV,2020-11-14 10:51:17,14.9,-24.5,0,55,83.40800000000002,2.33
111,jamestown,US,2020-11-14 10:51:17,42.1,-79.24,40,64,42.27799999999996,4.6
112,lorengau,PG,2020-11-14 10:51:17,-2.02,147.27,35,77,82.976,3.82
113,mar del plata,AR,2020-11-14 10:51:17,-38,-57.56,90,88,70.26799999999999,5.1
114,ahuimanu,US,2020-11-14 10:51:17,21.44,-157.84,20,73,77.26999999999995,5.1
115,puerto ayora,EC,2020-11-14 10:51:17,-0.74,-90.35,75,78,75.46999999999997,2.1
116,hami,CN,2020-11-14 10:51:18,42.8,93.45,100,56,42.16999999999996,4.82
117,bubaque,GW,2020-11-14 10:51:18,11.28,-15.83,0,46,85.02799999999996,2.2
118,tuatapere,NZ,2020-11-14 10:51:18,-46.13,167.68,100,62,62.27599999999999,2.24
119,kodiak,US,2020-11-14 10:48:41,57.79,-152.41,1,55,34.06999999999996,5.1
120,nikolskoye,RU,2020-11-14 10:51:18,59.7,30.79,90,80,34.06999999999996,1
121,catia la mar,VE,2020-11-14 10:51:18,10.6,-67.03,40,74,84.46999999999997,2.6
122,fortuna,US,2020-11-14 10:46:40,40.6,-124.16,90,100,44.27599999999999,4.6
123,lodwar,KE,2020-11-14 10:51:18,3.12,35.6,40,33,91.04000000000002,6.43
124,broome,US,2020-11-14 10:51:18,42.25,-75.83,75,55,43.26799999999999,6.2
125,odweyne,SO,2020-11-14 10:51:19,9.41,45.06,25,54,71.31199999999995,7.43
126,khatanga,RU,2020-11-14 10:51:19,71.97,102.5,100,90,-5.746000000000002,7.83
127,sirnak,TR,2020-11-14 10:51:19,37.52,42.46,100,65,47.67799999999996,0.43
128,torbay,CA,2020-11-14 10:51:19,47.67,-52.73,90,99,35.27599999999999,10.8
129,gemlik,TR,2020-11-14 10:51:19,40.43,29.16,75,93,55.66999999999996,0.5
130,bathsheba,BB,2020-11-14 10:51:19,13.22,-59.52,75,74,86.26999999999995,3.6
131,namibe,AO,2020-11-14 10:51:19,-15.2,12.15,35,74,73.50800000000001,5.26
132,calamar,CO,2020-11-14 10:51:19,10.25,-74.91,75,100,77.26999999999995,7.7
133,puerto escondido,MX,2020-11-14 10:51:20,15.85,-97.07,5,74,80.86999999999996,3.6
134,severo-kurilsk,RU,2020-11-14 10:51:20,50.68,156.12,86,91,42.8,6.21
135,itoman,JP,2020-11-14 10:51:20,26.12,127.67,40,78,75.46999999999997,4.1
136,carutapera,BR,2020-11-14 10:51:20,-1.2,-46.02,41,57,88.826,4.81
137,lata,PT,2020-11-14 10:51:20,40.16,-8.33,86,90,67.26199999999996,0.45
138,hasaki,JP,2020-11-14 10:51:20,35.73,140.83,0,93,43.06999999999996,0.5
139,beringovskiy,RU,2020-11-14 10:51:20,63.05,179.32,95,89,15.188000000000045,3.87
140,general roca,AR,2020-11-14 10:51:20,-39.03,-67.58,0,34,64.66999999999996,6.2
141,port alfred,ZA,2020-11-14 10:51:20,-33.59,26.89,75,77,67.81999999999996,7.67
142,tuktoyaktuk,CA,2020-11-14 10:51:21,69.45,-133.04,90,85,12.46999999999996,11.8
143,sola,VU,2020-11-14 10:51:21,-13.88,167.55,40,94,79.06999999999996,2.1
144,jawhar,SO,2020-11-14 10:51:21,2.78,45.5,51,78,78.35,4.55
145,palm bay,US,2020-11-14 10:51:21,28.03,-80.59,90,94,80.27599999999998,7.2
146,choctaw,US,2020-11-14 10:45:06,35.5,-97.27,90,93,64.27400000000002,6.7
147,norman wells,CA,2020-11-14 10:51:21,65.28,-126.83,75,74,-25.32999999999999,0.33
148,tumannyy,,,,,,,,
149,hofn,IS,2020-11-14 10:51:21,64.25,-15.21,0,72,39.038000000000046,6.82
150,montbrison,FR,2020-11-14 10:51:21,45.67,4.08,20,59,61.26799999999999,6.7
151,dzhusaly,,,,,,,,
152,mehamn,NO,2020-11-14 10:51:22,71.04,27.85,21,77,40.44199999999999,10.3
153,praia da vitoria,PT,2020-11-14 10:51:22,38.73,-27.07,40,78,71.86999999999996,4.59
154,sistranda,NO,2020-11-14 10:51:22,63.73,8.83,0,70,44.86999999999996,7.2
155,port blair,IN,2020-11-14 10:51:22,11.67,92.75,52,82,81.62599999999999,5.91
156,georgetown,MY,2020-11-14 10:51:22,5.41,100.34,40,94,82.66999999999996,5.1
157,sabha,LY,2020-11-14 10:51:22,27.04,14.43,0,37,69.16999999999996,3.8
158,grand river south east,,,,,,,,
159,provideniya,RU,2020-11-14 10:51:22,64.38,-173.3,0,89,17.798000000000023,3.18
160,lavrentiya,RU,2020-11-14 10:51:23,65.58,-171,94,91,22.49600000000005,6
161,longyearbyen,SJ,2020-11-14 10:51:23,78.22,15.64,75,75,43.06999999999996,8.7
162,berlevag,NO,2020-11-14 10:51:23,70.86,29.09,48,78,40.53200000000002,11.92
163,ishigaki,JP,2020-11-14 10:51:23,24.34,124.16,58,77,76.35199999999998,7.91
164,nancha,CN,2020-11-14 10:51:23,47.13,129.27,0,86,30.632000000000016,0.92
165,buariki,,,,,,,,
166,tupik,RU,2020-11-14 10:51:24,54.43,119.93,64,90,11.89399999999997,0.91
167,suez,EG,2020-11-14 10:51:24,29.97,32.53,17,63,72.31999999999996,7.48
168,ketchikan,US,2020-11-14 10:51:24,55.34,-131.65,75,93,39.469999999999956,2.6
169,geraldton,AU,2020-11-14 10:51:24,-28.77,114.6,40,72,64.66999999999996,4.6
170,saleaula,,,,,,,,
171,rantepao,ID,2020-11-14 10:51:24,-2.97,119.9,98,88,69.566,0.66
172,komsomolskiy,UZ,2020-11-14 10:51:24,40.43,71.72,90,80,41.26999999999996,1
173,barentsburg,,,,,,,,
174,strezhevoy,RU,2020-11-14 10:51:24,60.73,77.59,90,84,8.869999999999958,3
175,biloela,AU,2020-11-14 10:51:25,-24.42,150.5,1,92,70.19600000000005,0.79
176,talnakh,RU,2020-11-14 10:51:25,69.49,88.4,0,75,-18.12999999999999,3
177,ahipara,NZ,2020-11-14 10:51:25,-35.17,173.17,0,82,53.690000000000026,0.72
178,ngukurr,,,,,,,,
179,kununurra,AU,2020-11-14 10:51:25,-15.77,128.73,0,74,86.26999999999995,6.7
180,new norfolk,AU,2020-11-14 10:51:25,-42.78,147.06,90,58,55.66999999999996,4.6
181,saskylakh,RU,2020-11-14 10:51:26,71.92,114.08,0,87,-12.945999999999998,3.12
182,honiara,SB,2020-11-14 10:51:26,-9.43,159.95,40,100,75.46999999999997,2.14
183,aklavik,CA,2020-11-14 10:51:26,68.22,-135.01,75,77,-0.12999999999998835,1
184,barra do garcas,BR,2020-11-14 10:51:26,-15.89,-52.26,100,69,81.46400000000003,1.53
185,esperance,AU,2020-11-14 10:51:26,-33.87,121.9,90,100,57.469999999999956,6.2
186,havelock,US,2020-11-14 10:47:41,34.88,-76.9,40,72,67.26199999999996,3.6
187,qaanaaq,GL,2020-11-14 10:51:27,77.48,-69.36,94,83,0.5,4.38
188,kanigiri,IN,2020-11-14 10:51:27,15.4,79.52,0,83,75.34399999999997,1.83
189,asau,RO,2020-11-14 10:51:27,46.43,26.4,71,93,38.26400000000003,1.28
190,kamaishi,JP,2020-11-14 10:51:27,39.27,141.88,0,68,44.708000000000006,2.85
191,tekkali,IN,2020-11-14 10:51:28,18.62,84.23,0,68,75.63200000000002,3.42
192,ituporanga,BR,2020-11-14 10:51:28,-27.41,-49.6,34,79,88.26799999999999,4.02
193,attawapiskat,,,,,,,,
194,pauini,BR,2020-11-14 10:51:28,-7.71,-66.98,43,39,97.50199999999998,1.58
195,meulaboh,ID,2020-11-14 10:51:28,4.14,96.13,96,88,79.26799999999999,1.55
196,aranos,NA,2020-11-14 10:51:28,-24.13,19.12,80,22,88.41199999999995,8
197,zhezkazgan,KZ,2020-11-14 10:51:29,47.8,67.71,94,95,23.917999999999985,3.57
198,tefe,BR,2020-11-14 10:51:29,-3.35,-64.71,40,83,84.46999999999997,3.1
199,henties bay,NA,2020-11-14 10:51:29,-22.12,14.28,3,75,66.27200000000005,6.82
200,wattegama,LK,2020-11-14 10:51:29,6.8,81.48,0,100,79.06999999999996,2.1
201,cabo san lucas,MX,2020-11-14 10:48:37,22.89,-109.91,20,60,76.26199999999996,4.1
202,manokwari,ID,2020-11-14 10:49:50,-0.87,134.08,97,73,81.71600000000001,0.55
203,hamilton,US,2020-11-14 10:47:38,39.18,-84.53,97,72,46.274000000000015,0.45
204,fayaoue,NC,2020-11-14 10:51:29,-20.65,166.53,5,80,76.892,2.55
205,guerrero negro,MX,2020-11-14 10:51:29,27.98,-114.06,0,63,67.49600000000005,7.18
206,olafsvik,IS,2020-11-14 10:51:30,64.89,-23.71,43,90,33.04399999999997,6.87
207,high level,CA,2020-11-14 10:51:30,58.52,-117.14,90,84,8.869999999999958,3.1
208,escondido,US,2020-11-14 10:47:17,33.12,-117.09,20,71,58.26199999999996,2.6
209,verkhovazhye,RU,2020-11-14 10:51:30,60.75,42.05,100,97,32.035999999999966,0.69
210,huntington,US,2020-11-14 10:51:30,38.42,-82.45,1,75,48.272000000000034,1.01
211,kjollefjord,NO,2020-11-14 10:51:30,70.95,27.35,22,76,41.66600000000001,11.42
212,sedelnikovo,,,,,,,,
213,thompson,CA,2020-11-14 10:51:31,55.74,-97.86,90,92,17.86999999999996,3.1
214,kapaa,US,2020-11-14 10:51:31,22.08,-159.32,40,83,77.26999999999995,5.1
215,primorsk,UA,2020-11-14 10:51:31,46.73,36.34,100,65,42.8,4.05
216,saint anthony,US,2020-11-14 10:51:31,45.02,-93.22,20,64,35.86999999999996,5.7
217,baruun-urt,MN,2020-11-14 10:51:31,46.68,113.28,60,96,28.651999999999976,3.99
218,pasighat,IN,2020-11-14 10:51:31,28.07,95.33,0,55,66.81199999999995,1.72
219,totma,RU,2020-11-14 10:51:31,59.97,42.76,100,97,32.9,0.77
220,hoquiam,US,2020-11-14 10:51:32,46.98,-123.89,1,93,44.27599999999999,1.5
221,kodoli,IN,2020-11-14 10:51:32,16.88,74.2,0,60,73.94000000000003,2.29
222,faanui,PF,2020-11-14 10:51:32,-16.48,-151.75,86,76,79.62799999999996,3.39
223,salamiyah,SY,2020-11-14 10:51:32,35.01,37.05,98,50,66.21799999999999,0.31
224,walvis bay,NA,2020-11-14 10:51:32,-22.96,14.51,0,49,71.86999999999996,8.7
225,thurles,IE,2020-11-14 10:51:32,52.68,-7.8,56,87,53.27599999999999,5.81
226,kavaratti,IN,2020-11-14 10:51:33,10.57,72.64,86,73,83.46199999999996,2.05
227,isiro,CD,2020-11-14 10:51:33,2.77,27.62,99,95,70.89800000000002,1.56
228,nata,PA,2020-11-14 10:51:33,8.33,-80.52,40,83,80.86999999999996,2.1
229,vung tau,VN,2020-11-14 10:51:33,10.35,107.08,100,79,79.55600000000004,3.1
230,palora,EC,2020-11-14 10:51:33,-1.7,-77.93,75,83,73.66999999999996,2.6
231,tamandare,BR,2020-11-14 10:47:32,-8.76,-35.1,25,67,84.10999999999999,4.99
232,birao,CF,2020-11-14 10:51:33,10.28,22.79,1,19,83.78599999999997,1.76
233,laiagam,,,,,,,,
234,isangel,VU,2020-11-14 10:51:34,-19.55,169.27,26,84,75.12799999999996,2.28
235,saint george,US,2020-11-14 10:47:36,37.1,-113.58,1,51,37.66999999999996,3.29
236,carroll,US,2020-11-14 10:51:34,39.55,-77.02,1,57,50.26999999999996,3.6
237,chulman,RU,2020-11-14 10:51:34,56.85,124.91,98,93,9.356000000000027,3.65
238,east london,ZA,2020-11-14 10:51:34,-33.02,27.91,20,64,70.06999999999996,8.2
239,rosario,AR,2020-11-14 10:51:34,-32.95,-60.64,90,88,70.26799999999999,4.6
240,turtas,RU,2020-11-14 10:51:35,58.94,69.13,100,94,10.580000000000041,3.55
241,rustenburg,ZA,2020-11-14 10:51:35,-25.67,27.24,31,19,84.07400000000001,2.88
242,biak,ID,2020-11-14 10:51:35,-0.91,122.88,19,80,78.27799999999996,0.31
243,hargeysa,SO,2020-11-14 10:48:26,9.56,44.06,0,62,66.18200000000002,5.85
244,cockburn town,TC,2020-11-14 10:51:24,21.46,-71.14,76,72,81.26600000000002,6.66
245,raga,SS,2020-11-14 10:51:35,8.46,25.68,0,26,85.19000000000003,2.14
246,shingu,JP,2020-11-14 10:51:35,33.73,135.98,0,62,52.84399999999997,2.85
247,salinas,US,2020-11-14 10:51:36,36.68,-121.66,90,93,52.069999999999965,0.92
248,kpalime,TG,2020-11-14 10:51:36,6.9,0.63,0,41,89.99600000000005,0.74
249,lulea,SE,2020-11-14 10:51:36,65.58,22.15,90,93,41.26999999999996,7.2
250,kushima,JP,2020-11-14 10:51:36,31.46,131.23,1,73,60.20600000000003,3.25
251,quatre cocos,MU,2020-11-14 10:51:36,-20.21,57.76,75,94,76.26199999999996,3.6
252,winnemucca,US,2020-11-14 10:51:36,40.97,-117.74,1,87,32.26999999999996,3.6
253,samusu,,,,,,,,
254,tigil,RU,2020-11-14 10:51:37,57.8,158.67,100,93,32.32400000000001,8.61
255,clyde river,CA,2020-11-14 10:51:37,70.47,-68.59,90,67,21.469999999999956,9.3
256,gweta,BW,2020-11-14 10:51:37,-20.18,25.23,93,27,89.05999999999997,1.3
257,dwarka,IN,2020-11-14 10:51:37,22.24,68.97,0,60,80.49199999999999,3.9
258,nadvoitsy,RU,2020-11-14 10:51:37,63.87,34.32,93,93,36.23000000000004,3.56
259,montpelier,US,2020-11-14 10:50:46,44.26,-72.58,90,59,40.26199999999996,4.1
260,lakefield,US,2020-11-14 10:51:38,43.68,-95.17,1,80,35.27599999999999,7.2
261,san cristobal,VE,2020-11-14 10:51:38,7.77,-72.22,40,58,84.46999999999997,2.1
262,ayaviri,PE,2020-11-14 10:51:38,-14.89,-70.59,3,24,61.79000000000002,1.88
263,ancud,CL,2020-11-14 10:49:12,-41.87,-73.82,75,76,60.27799999999996,3.6
264,bhatkal,IN,2020-11-14 10:51:38,13.97,74.57,41,66,82.56199999999995,4.01
265,quelimane,MZ,2020-11-14 10:51:38,-17.88,36.89,20,57,80.86999999999996,3.6
266,sudbury,CA,2020-11-14 10:51:38,46.49,-80.99,75,79,38.26400000000003,4.1
267,nanortalik,GL,2020-11-14 10:51:38,60.14,-45.24,0,87,26.95999999999998,6.11
268,caronport,CA,2020-11-14 10:51:39,50.45,-105.82,69,85,25.069999999999958,10.3
269,bandarbeyla,SO,2020-11-14 10:51:39,9.49,50.81,11,76,77.97200000000004,7.78
270,henderson,US,2020-11-14 10:49:54,36.04,-114.98,1,28,56.26400000000004,1.5
271,rawlins,US,2020-11-14 10:51:39,41.79,-107.24,1,68,26.27599999999999,14.9
272,trairi,BR,2020-11-14 10:51:39,-3.28,-39.27,97,52,90.10399999999996,7.98
273,moron,AR,2020-11-14 10:47:43,-34.65,-58.62,100,70,79.26799999999999,2.84
274,smirnykh,RU,2020-11-14 10:51:39,49.75,142.83,15,94,28.66999999999996,0.79
275,atambua,ID,2020-11-14 10:51:40,-9.11,124.89,0,74,77.28800000000004,0.48
276,faya,SA,2020-11-14 10:51:40,18.39,42.45,40,82,70.06999999999996,4.1
277,elk plain,US,2020-11-14 10:51:40,47.05,-122.4,1,86,43.26799999999999,2.1
278,yanan,,,,,,,,
279,salalah,OM,2020-11-14 10:48:35,17.02,54.09,0,57,80.86999999999996,1
280,angoche,MZ,2020-11-14 10:51:40,-16.23,39.91,0,66,77.07200000000003,5.28
281,touros,BR,2020-11-14 10:51:40,-5.2,-35.46,75,66,86.26999999999995,6.7
282,margate,GB,2020-11-14 10:51:41,51.38,1.39,100,75,58.26199999999996,3.13
283,merauke,ID,2020-11-14 10:51:41,-8.47,140.33,60,80,77.09000000000003,4.92
284,myitkyina,MM,2020-11-14 10:51:41,25.38,97.4,0,73,68.52200000000005,1.03
285,jodhpur,IN,2020-11-14 10:51:41,26.29,73.03,1,32,75.29000000000002,1.64
286,aasiaat,GL,2020-11-14 10:51:41,68.71,-52.87,87,94,8.672000000000036,4.1
287,ponta do sol,PT,2020-11-14 10:51:41,32.67,-17.1,75,88,71.86999999999996,5.7
288,barao de melgaco,BR,2020-11-14 10:51:41,-16.19,-55.97,0,52,89.86999999999996,4.1
289,kasulu,TZ,2020-11-14 10:51:42,-4.58,30.1,75,94,71.86999999999996,1.96
290,salta,AR,2020-11-14 10:51:42,-24.79,-65.41,20,31,89.86999999999996,2.1
291,souillac,MU,2020-11-14 10:51:42,-20.52,57.52,75,94,73.66999999999996,3.6
292,bocas del toro,PA,2020-11-14 10:51:10,9.33,-82.25,10,77,70.26799999999999,0.89
293,fredericton,CA,2020-11-14 10:51:02,45.95,-66.67,90,93,39.469999999999956,4.1
294,uvira,CD,2020-11-14 10:51:42,-3.41,29.15,96,64,76.98200000000003,3.15
295,bambanglipuro,ID,2020-11-14 10:51:42,-7.95,110.28,100,86,80.05999999999997,2.72
296,auki,SB,2020-11-14 10:51:43,-8.77,160.7,0,83,78.33200000000002,1.54
297,port moresby,PG,2020-11-14 10:51:43,-9.44,147.18,75,88,79.06999999999996,5.1
298,nevsehir,TR,2020-11-14 10:51:43,38.92,34.67,40,53,50.26999999999996,3.1
299,amga,RU,2020-11-14 10:51:43,60.9,131.96,100,95,11.948000000000025,1.5
300,carauari,BR,2020-11-14 10:47:30,-4.88,-66.9,88,47,93.74000000000002,2.01
301,krasnoselkup,RU,2020-11-14 10:51:44,65.7,82.47,87,90,-8.517999999999986,2.83
302,bermeo,ES,2020-11-14 10:51:44,43.42,-2.72,20,52,70.26799999999999,3.6
303,yurginskoye,RU,2020-11-14 10:51:44,56.82,67.39,100,96,15.583999999999993,6
